2023-04-03 17:20:52,642 INFO    MainThread:35464 [wandb_setup.py:_flush():76] Configure stats pid to 35464
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_setup.py:_flush():76] Loading settings from /Users/sahiljain/.config/wandb/settings
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_setup.py:_flush():76] Loading settings from /Users/sahiljain/Documents/Fall 2022/Independent Work/thesis/train-3d/wandb/settings
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train-3d/train.py', 'program': '/Users/sahiljain/Documents/Fall 2022/Independent Work/thesis/train-3d/train.py'}
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_init.py:_log_setup():506] Logging user logs to /Users/sahiljain/Documents/Fall 2022/Independent Work/thesis/train-3d/wandb/run-20230403_172052-mk7eoom9/logs/debug.log
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/sahiljain/Documents/Fall 2022/Independent Work/thesis/train-3d/wandb/run-20230403_172052-mk7eoom9/logs/debug-internal.log
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_init.py:init():546] calling init triggers
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'architecture': 'GIN', 'learning_rate': 0.001, 'epochs': 1000, 'dimensions': 3, 'data_dir': 'data/test.pkl.gz', 'layers': 1}
2023-04-03 17:20:52,643 INFO    MainThread:35464 [wandb_init.py:init():602] starting backend
2023-04-03 17:20:52,644 INFO    MainThread:35464 [wandb_init.py:init():606] setting up manager
2023-04-03 17:20:52,646 INFO    MainThread:35464 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-04-03 17:20:52,649 INFO    MainThread:35464 [wandb_init.py:init():613] backend started and connected
2023-04-03 17:20:52,654 INFO    MainThread:35464 [wandb_init.py:init():701] updated telemetry
2023-04-03 17:20:52,681 INFO    MainThread:35464 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-03 17:20:53,289 INFO    MainThread:35464 [wandb_run.py:_on_init():2133] communicating current version
2023-04-03 17:20:53,519 INFO    MainThread:35464 [wandb_run.py:_on_init():2142] got version response 
2023-04-03 17:20:53,519 INFO    MainThread:35464 [wandb_init.py:init():789] starting run threads in backend
2023-04-03 17:20:57,636 INFO    MainThread:35464 [wandb_run.py:_console_start():2114] atexit reg
2023-04-03 17:20:57,636 INFO    MainThread:35464 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-03 17:20:57,636 INFO    MainThread:35464 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-03 17:20:57,636 INFO    MainThread:35464 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-03 17:20:57,637 INFO    MainThread:35464 [wandb_init.py:init():831] run started, returning control to user process
2023-04-03 17:20:57,648 INFO    MainThread:35464 [wandb_watch.py:watch():51] Watching
2023-04-03 17:21:05,607 WARNING MsgRouterThr:35464 [router.py:message_loop():77] message_loop has been closed
